Participant #,Condition,# Hits,Golf Experience,Pre-Luck,Post-Luck,Gender,Year,Age,Major,Religious ,Religion,Manip Check
1,1,7,3,2,3,0,4,21,0,1,,1
2,0,1,2,3,3,1,3,20,0,0,,1
3,1,2,1,3,1,1,3,19,0,0,,1
4,1,4,2,2,2,0,1,18,1,0,,1
5,0,8,2,1,4,0,1,18,1,0,,1
6,1,7,2,3,3,0,1,19,1,0,,0
7,1,4,3,4,2,0,4,22,1,0,,0
8,1,3,1,4,3,1,3,20,0,0,,1
9,1,7,1,3,3,0,1,19,1,0,,1
10,0,4,1,1,1,0,1,18,1,0,,1
11,1,6,1,1,1,0,4,22,0,0,,1
12,0,8,3,1,1,1,3,19,1,1,1,1
13,1,7,2,4,4,1,2,20,1,1,6,0
14,1,7,2,2,2,0,1,20,2,1,6,1
15,1,4,2,4,3,1,1,18,1,0,,0
16,1,3,3,3,3,1,1,18,1,0,,1
17,0,6,1,3,1,1,1,19,2,0,,1
18,0,4,2,1,3,0,1,19,2,0,,1
19,0,4,1,1,3,1,2,19,1,1,1,1
20,0,5,1,1,1,1,3,21,0,1,7,1
21,0,7,3,1,1,0,3,22,0,0,,1
22,0,4,1,1,3,1,1,19,1,0,,1
23,1,5,2,3,2,0,1,18,2,0,,1
24,1,4,2,3,3,1,4,23,1,Failed to fill in,,1
25,1,3,2,3,3,0,4,21,1,1,6,0
26,0,3,2,1,1,1,3,18,0,0,,1
27,1,3,1,3,2,1,1,19,1,1,8,1
28,1,7,2,1,1,1,4,22,1,0,,1
29,0,9,2,1,1,1,3,19,0,1,1,1
30,0,4,1,3,3,1,2,24,0,1,1,1
31,1,7,1,1,3,0,4,21,1,0,,1
32,0,8,2,2,2,1,2,19,0,1,9,1
33,1,2,2,1,1,1,2,19,0,0,,1
34,1,6,1,3,3,0,1,18,1,0,,1
35,0,9,2,1,2,0,4,24,1,0,,1
36,0,4,2,1,1,0,2,19,0,0,,1
37,0,8,1,2,3,1,1,19,1,0,,1
38,1,3,2,4,3,1,1,18,2,0,,1
39,1,5,1,3,3,1,1,18,1,0,,1
40,0,8,5,1,1,1,2,19,1,1,6,1
41,1,4,2,2,2,1,3,21,1,0,,0
42,0,4,2,1,1,0,1,19,1,1,1,1
43,0,7,2,3,3,0,1,18,2,0,,1
44,0,6,2,1,1,1,1,19,2,0,,1
45,1,5,2,3,4,1,3,21,0,0,,0
46,1,2,1,3,3,0,2,19,1,1,10,0
47,1,7,3,3,3,1,1,19,1,1,1,0
48,0,5,2,1,1,2,3,24,0,0,,1
49,1,1,1,1,2,1,3,20,1,0,,0
50,1,4,1,2,2,1,1,18,1,0,,1
51,0,2,2,1,1,1,2,20,1,0,,1
52,0,5,2,1,1,0,1,18,1,1,1,1
53,1,5,2,1,1,1,3,20,1,1,6,0
54,1,8,2,3,3,1,1,19,1,0,,0
55,0,5,1,1,1,0,3,23,0,1,10,1
56,0,7,1,1,1,0,2,20,1,0,,1
57,1,5,2,3,3,0,1,19,1,0,,1
58,0,6,2,3,3,1,3,21,0,1,2,1
59,0,7,3,1,1,1,1,18,0,0,,1
60,0,6,5,2,3,0,2,18,1,1,1,1
61,1,2,2,2,3,1,1,19,0,1,2,0
62,0,2,1,2,1,1,1,18,1,0,,1
63,0,6,3,2,3,0,2,18,1,0,,1
64,0,7,3,1,1,0,2,20,1,0,,1
65,1,6,2,1,1,1,1,18,2,1,1,1
66,0,5,2,3,2,1,1,19,1,0,,1
67,0,5,1,1,1,0,1,19,1,0,,1
68,0,5,1,1,3,1,1,19,2,1,2,0
